%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1563269744425939407,3217,1563269744422600030,/gps,0,1,50.9389395,-1.47088966667,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269744611976324,3218,1563269744604629993,/gps,0,1,50.9389395,-1.47088966667,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269744785778146,3219,1563269744781697034,/gps,0,1,50.9389395,-1.47088966667,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269745021449740,3220,1563269745018963098,/gps,0,1,50.9389395,-1.4708895,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269745201194943,3221,1563269745193629980,/gps,0,1,50.9389395,-1.47088933333,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269745446773837,3222,1563269745442877054,/gps,0,1,50.9389395,-1.47088933333,16.8,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1563269745670710770,3223,1563269745665144920,/gps,0,1,50.9389395,-1.47088916667,16.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269745801028439,3224,1563269745799223899,/gps,0,1,50.9389395,-1.47088916667,16.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269745990774545,3225,1563269745986851930,/gps,0,1,50.9389395,-1.47088916667,16.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269746222700277,3226,1563269746220859050,/gps,0,1,50.9389396667,-1.47088916667,16.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269746407429371,3227,1563269746399347066,/gps,0,1,50.93894,-1.4708895,16.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269746827291191,3228,1563269746819883108,/gps,0,1,50.938941,-1.4708905,16.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
