%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1563269738652180733,5373,1563269738079900000,/map,437274.03125,115629.601562,12.5670309067,-0.0124017589797,-0.00343847404584,0.944923957221,0.327036830251
1563269738654146851,5374,1563269738180764000,/map,437274.03125,115629.601562,12.5712442398,-0.0126133126854,-0.00320686077707,0.944934564794,0.327000441353
1563269738657227794,5375,1563269738282182000,/map,437274.03125,115629.59375,12.5703134537,-0.0126603122085,-0.00335269351406,0.944944426838,0.326968662304
1563269738662812058,5376,1563269738382581000,/map,437274.03125,115629.59375,12.5733594894,-0.0127200862374,-0.00307721774485,0.94493968541,0.326982753482
1563269738841468614,5377,1563269738483408000,/map,437274.03125,115629.59375,12.570274353,-0.0125390401076,-0.00337796522642,0.944951286674,0.326953249925
1563269738841500263,5378,1563269738584191000,/map,437274.03125,115629.59375,12.5699110031,-0.0126765675975,-0.00314313500078,0.944945623759,0.326966654988
1563269739220081115,5381,1563269738886783000,/map,437274.03125,115629.601562,12.5715703964,-0.0127418522884,-0.00319696123786,0.944936770247,0.326989181585
1563269739231850017,5382,1563269738987677000,/map,437274.03125,115629.59375,12.5696487427,-0.0125696694172,-0.00336685170669,0.944936422215,0.326995146282
1563269739456927535,5385,1563269739290223000,/map,437274.0,115629.601562,12.5656023026,-0.0126165047593,-0.00331863053055,0.944935688332,0.326995956267
1563269739837086203,5386,1563269739391128000,/map,437274.03125,115629.59375,12.5732154846,-0.0127940483912,-0.0031802297561,0.944938931984,0.326981059522
1563269739839690040,5387,1563269739491983000,/map,437274.03125,115629.601562,12.5698165894,-0.0125986588008,-0.00333896863101,0.944923147457,0.327032674951
1563269739840772863,5388,1563269739592847000,/map,437274.03125,115629.601562,12.5722007751,-0.0126861704179,-0.00312534858785,0.944934801147,0.326997729131
1563269740369759880,5393,1563269740097202000,/map,437274.03125,115629.59375,12.5705909729,-0.0126481940278,-0.00333160744808,0.94494141585,0.326978048486
1563269740369788969,5394,1563269740198186000,/map,437274.0,115629.59375,12.5710792542,-0.0128172606016,-0.00325140533562,0.944963040867,0.326909769798
1563269740666030417,5395,1563269740298869000,/map,437274.0,115629.59375,12.567779541,-0.0126174139039,-0.0033044954544,0.944958416961,0.326930376979
1563269740666054258,5396,1563269740399697000,/map,437274.0,115629.601562,12.5670394897,-0.0124482347736,-0.0033511158601,0.94493343681,0.327008580121
1563269740666084307,5397,1563269740500579000,/map,437274.0,115629.601562,12.5735254288,-0.0128256891343,-0.00316184381897,0.944925569009,0.327018613346
1563269741432144697,5401,1563269740903965000,/map,437274.0,115629.601562,12.5679721832,-0.012669390257,-0.00323019284444,0.944984322366,0.326854222686
1563269741432264157,5402,1563269741005374000,/map,437274.0,115629.601562,12.570432663,-0.0126186866897,-0.00316697186619,0.944997763659,0.326817939707
1563269741432391074,5403,1563269741106418000,/map,437274.0,115629.601562,12.5697727203,-0.012634370376,-0.00326573528487,0.944990944748,0.326836078185
1563269741432401378,5404,1563269741207094000,/map,437274.0,115629.601562,12.5698461533,-0.0125368921413,-0.00320775182211,0.944987494042,0.326850382848
1563269742475887757,5413,1563269742114308000,/map,437274.03125,115629.609375,12.5653057098,-0.0124672778404,-0.00302058310727,0.945187632576,0.326275623188
1563269743247822309,5415,1563269742316035000,/map,437274.03125,115629.617188,12.5615243912,-0.0122248271712,-0.00307853979055,0.945225687401,0.326173996618
1563269743974650379,5416,1563269743122844000,/map,437274.0,115629.617188,12.5594854355,-0.0120288638177,-0.00310860799448,0.945218773022,0.326201033287
1563269744016743345,5417,1563269743929753000,/map,437274.0,115629.617188,12.5587091446,-0.0119059732843,-0.00307501095509,0.944963236726,0.326945367523
1563269744183114404,5418,1563269744030810000,/map,437274.0,115629.609375,12.5554590225,-0.0117292730455,-0.00314564450426,0.944656132819,0.327837337413
1563269744934892906,5419,1563269744131446000,/map,437273.96875,115629.617188,12.5571727753,-0.0115233764315,-0.00316612651959,0.944044531406,0.329601441381
1563269745176823988,5420,1563269744837477000,/map,437273.78125,115629.765625,12.5510902405,-0.0116275754514,-0.00334868293028,0.933954824236,0.357186186879
1563269745271395063,5421,1563269745140380000,/map,437273.65625,115629.90625,12.5465497971,-0.0111322779346,-0.00328262984953,0.930222371299,0.366812808752
1563269745357338339,5422,1563269745240926000,/map,437273.59375,115629.976562,12.5412626266,-0.0104666673469,-0.00350532686262,0.929357038539,0.369017149297
1563269745424795160,5423,1563269745341889000,/map,437273.53125,115630.039062,12.531457901,-0.0106233407256,-0.00360785259161,0.92897260189,0.369978422302
1563269746263894811,5424,1563269745442583000,/map,437273.4375,115630.125,12.5296096802,-0.0102063054008,-0.0035849564011,0.929008543833,0.369900128283
1563269746432194579,5425,1563269746148772000,/map,437272.6875,115630.804688,12.4880819321,-0.00578465831921,-0.00392695834207,0.937535715587,0.347818772818
1563269746535373866,5426,1563269746350684000,/map,437272.375,115631.0625,12.4801912308,-0.00581560585905,-0.00355585686211,0.940968977083,0.338424169907
1563269746613394011,5427,1563269746451363000,/map,437272.21875,115631.203125,12.471909523,-0.00600917262536,-0.00330090459429,0.942813385403,0.33325052765
1563269746701557463,5428,1563269746552116000,/map,437272.0,115631.351562,12.4718017578,-0.00632277937972,-0.00339088715239,0.944642778553,0.328022171922
1563269746783191177,5429,1563269746653281000,/map,437271.78125,115631.492188,12.4921569824,-0.00709434379287,-0.00383174172549,0.946200462294,0.323480560771
1563269746864311880,5430,1563269746753767000,/map,437271.53125,115631.648438,12.476732254,-0.00664827915827,-0.00408683781873,0.947521134285,0.319597869556
1563269746958356951,5431,1563269746854660000,/map,437271.3125,115631.828125,12.4631128311,-0.00670298636427,-0.00380436980284,0.948496848359,0.31669279341
1563269747073928171,5432,1563269746955499000,/map,437271.0625,115632.0,12.4535493851,-0.00635061404408,-0.00397086302744,0.949122957405,0.314816635002
1563269747183305216,5433,1563269747056337000,/map,437270.8125,115632.1875,12.4533939362,-0.00735508545711,-0.00385750074069,0.94952691581,0.313575602621
1563269748070477633,5434,1563269747157279000,/map,437270.59375,115632.367188,12.4474563599,-0.00778943955201,-0.00383989002313,0.949875116866,0.312508947447
1563269748914373712,5435,1563269747965276000,/map,437268.09375,115634.078125,12.4006671906,-0.00951917438454,-0.00354290009997,0.951900213005,0.306239804172
1563269749080373110,5436,1563269748871814000,/map,437265.125,115636.132812,12.3252973557,-0.0111304935995,-0.00302752208849,0.952849982749,0.303222453979
1563269749188146418,5437,1563269748972707000,/map,437264.78125,115636.367188,12.3087501526,-0.0114357878454,-0.00302251613692,0.952934552207,0.302945253079
1563269749375337936,5438,1563269749073562000,/map,437264.4375,115636.601562,12.3037071228,-0.011233906891,-0.00309018927799,0.953016119146,0.302695435568
1563269749501306329,5439,1563269749275220000,/map,437263.78125,115637.070312,12.2941246033,-0.0115759213046,-0.0032570161848,0.953352505324,0.301619612234
1563269750346296879,5440,1563269749376228000,/map,437263.40625,115637.289062,12.2531776428,-0.0122168321669,-0.00292829856388,0.953448933195,0.301292724553
1563269750607708789,5441,1563269750283904000,/map,437260.25,115639.414062,12.1775093079,-0.0118704944202,-0.00359650749279,0.954734157835,0.297201689698
1563269750665592595,5442,1563269750485627000,/map,437259.53125,115639.890625,12.1709337234,-0.0111992670653,-0.00369366668576,0.955031307672,0.296270374169
1563269750741714687,5443,1563269750586641000,/map,437259.1875,115640.125,12.1557884216,-0.011108753394,-0.00371351447397,0.955233207059,0.295621930074
1563269750856534520,5444,1563269750687564000,/map,437258.8125,115640.351562,12.1275444031,-0.011176525125,-0.0036137985836,0.955408312164,0.295054203146
1563269750936297830,5445,1563269750788204000,/map,437258.4375,115640.601562,12.1429185867,-0.0103083237209,-0.00393979082676,0.955540416368,0.294653574895
1563269751023443934,5446,1563269750889025000,/map,437258.09375,115640.835938,12.1211776733,-0.0107131114696,-0.00405888171892,0.955741220323,0.293985500487
1563269751103617019,5447,1563269750989868000,/map,437257.71875,115641.085938,12.1440467834,-0.00968050972044,-0.00436608930138,0.955850825057,0.293660390985
1563269751277385368,5448,1563269751090767000,/map,437257.34375,115641.335938,12.1378631592,-0.00878097441219,-0.00443609067146,0.956123398725,0.292799012975
